#TYPE Selected.System.String
"CreationTime","LastAccessTime","LastWriteTime","Attributes","Owner","FullName","Sign","MD5"
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Cookies",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Local Settings",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\My Documents",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\NetHood",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\PrintHood",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Recent",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\SendTo",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Start Menu",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Templates",,
"2019-12-07 16:03:44","2021-06-03 10:53:19","2019-12-07 16:03:44","","BUILTIN\Administrators","C:\Users\Default\NTUSER.DAT.LOG1",,"E5F7755A01E186FC27317D0B0B38F9B5"
"2019-12-07 16:03:44","2021-06-03 10:53:19","2019-12-07 16:03:44","","BUILTIN\Administrators","C:\Users\Default\NTUSER.DAT.LOG2",,"419C78962B2BA1708CC103E01168D12F"
"2020-10-08 23:42:12","2021-06-03 10:53:19","2020-10-08 23:42:12","","NT AUTHORITY\SYSTEM","C:\Users\Default\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM.blf",,"0F7FDD1765C527E1C1EEF45051196F08"
"2020-10-08 23:42:12","2021-06-03 10:53:19","2020-10-08 23:42:12","","NT AUTHORITY\SYSTEM","C:\Users\Default\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms",,"A9F14A83A0108DD3A14A28D1D30EB2D5"
"2020-10-08 23:42:12","2021-06-03 10:53:19","2020-10-08 23:42:12","","NT AUTHORITY\SYSTEM","C:\Users\Default\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms",,"59071590099D21DD439896592338BF95"
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData\Local\Application Data",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData\Local\History",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData\Local\Temporary Internet Files",,
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:14:54","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData\Local\Microsoft\Windows Sidebar",,
"2020-10-08 23:42:13","2020-10-08 23:42:13","2020-10-08 23:42:13","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData\Local\Microsoft\Windows\Temporary Internet Files",,
"2019-12-07 16:15:02","2021-06-03 10:53:19","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\Users\Default\AppData\Local\Microsoft\Windows\WinX\Group1\desktop.ini",,"22F192FB4C42DF0A72A2FA00F41CE01A"
"2019-12-07 16:15:02","2021-06-03 10:53:19","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\Users\Default\AppData\Local\Microsoft\Windows\WinX\Group2\desktop.ini",,"E7DC96F8AE6D279D7B3DE9BAF1F4A0BE"
"2019-12-07 16:15:02","2021-06-03 10:53:19","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\Users\Default\AppData\Local\Microsoft\Windows\WinX\Group3\desktop.ini",,"2B0C0EEC15142B600F38CE1BB2507AFB"
"2019-12-07 16:15:02","2021-06-03 10:53:19","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini",,"623A388DA0F5A5C9892D3EABF1BBD52A"
"2019-12-07 16:14:54","2021-06-03 10:53:19","2021-01-14 13:38:38","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\desktop.ini",,"4AF9E982FC27CE9D7EAA756E71E73042"
"2019-12-07 16:54:02","2021-06-03 10:53:19","2019-12-07 16:53:57","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini",,"024FF9603456E7CB27B8F1A74BC65666"
"2019-12-07 16:14:54","2021-06-03 10:53:19","2021-02-19 09:21:04","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\desktop.ini",,"23589A465505EAA88FC6011E84350A8C"
"2019-12-07 16:14:54","2021-06-03 10:53:19","2020-08-08 15:21:00","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\desktop.ini",,"8E87F55B014FECA6665CE80419D72D4B"
"2019-12-07 16:14:54","2021-06-03 10:53:19","2019-12-07 16:12:42","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini","(Verified) Microsoft Corporation","CAC4D0F604168B35338F40B0FE08C453"
"2019-12-07 16:14:54","2021-06-03 10:53:19","2019-12-07 16:12:47","","BUILTIN\Administrators","C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Desktop.ini",,"255FAE4332DAE10C0E1ED178EDD7755C"
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Documents\My Music",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Documents\My Pictures",,
